B386	Far Away and Long Ago	W. H. Hudson		
B387	The Fountain	Charles Morgan		Robson Books
B388	William Morris	Peter Stansky		Oxford
B389	Churchill: A Life	Martin Gilbert		
B390	Thoughts in the Wilderness	J. B. Priestley		Heinemann
B391	Old Men Forget	Duff Cooper		
B392	Gino Watkins	J. M. Scott		
B393	Reginald Kennedy-Cox: An Autobiography	Reginald Kennedy-Cox		
B394	Bollinger	Cyril Ray		
B395	Stalker	John Stalker		Harrap
B396	Europe: A Visual History	Jean Amsler; Jacques Boudet et al.	1959	The Bodley Head
B397	The Victoria Memorial Hall, Calcutta: Conception, Collections, Conservation	Philippa Vaughan (editor)	1997	Marg Publications
B398	The Times Atlas of the Bible	James B. Pritchard (editor)	1987	Times Books
B399	Canaletto	F. J. B. Watson	1949	Paul Elek
B400	Stained Glass	Author/editor uncertain		
B401	Stained and Decorative Glass	Elizabeth Morris	1988	Tiger / edition imprint uncertain
B402	Glaziers and Painters of Glass	Author/editor uncertain		
B403	Glaziers and Painters of Glass	Author/editor uncertain		
B404	This Is Judaism	Michael Keene		STP
B405	Stamp Album (philatelic album)	Unknown		
B406	Gauguin	Author/editor uncertain		Parragon
B407	Constable	Author/editor uncertain		Parragon
B408	Lautrec	Author/editor uncertain		Parragon
B409	Livingstone	Tim Jeal	1973	Heinemann
B410	The Will and the Way: Being an Account of Alfred Beit and the Trust Which He Founded, 1906–1956	Sir Alfred Beit; John Gilbert Lockhart	1957	Longmans, Green and Co.
B411	Baden-Powell: A Family Album	Heather Baden-Powell	1986	Sutton Publishing
B412	The Music in the Streets	Fred Wilde	1983	Collins
B413	Heavo, Heavo, Lash Up and Stow: A Memoir of an East Ender's War	Ken Kimberley		
B414	Medieval Britain from the Air	Colin Platt		George Philip
B415	Cooking for Your Vegetarian Kids	Roz Denny		
B416	The Living Planet: A Portrait of the Earth	David Attenborough	1984	
B417	Graham Greene Country	Paul Hogarth; foreword/commentary by Graham Greene	1986	Pavilion
B418	A Vision of Britain: A Personal View of Architecture	HRH The Prince of Wales		Doubleday
B419	The British Isles	Author/editor uncertain		Colour Library Books
B420	Spectacular Israel	Amotz Asa-El; photographs by Shai Ginott	1999	Könemann
B421	The Ordnance Survey Complete Guide to the Battlefields of Britain	David Smurthwaite		Ordnance Survey
B422	Birds of Prey of the World	Philip Burton; illustrated by Trevor Boyer, Malcolm Ellis & David Thelwell		Dragon's World
B423	John Tarlton's Essex	John Tarlton		
B424	A Life of Christ from Pictures in the National Gallery	Author/editor uncertain		National Gallery / edition uncertain
B425	Britain on Country Roads	AA editors		AA / Shell
B426	The Encyclopedia of Gambling	Peter Arnold		Collins
B427	The Hamlyn Road Atlas of Great Britain	Hamlyn editors		Hamlyn
B428	East Anglia	Author/editor uncertain		
B429	Container Gardening	Malcolm Hillier		Book Club Associates / edition uncertain
B430	Gardens of the National Trust	Graham Stuart Thomas		
B431	London's Pride: The Glorious History of the Capital's Gardens	Mireille Galinou		
B432	The Sunday Times Book of the Countryside: Including One Thousand Days Out in Great Britain and Ireland	Philip H. Clarke	1987	Hamlyn
B433	Historic Houses of Britain	Mark Girouard		St Michael
B434	Wilderness Expeditions	Heinz Sielmann		Watts Naturals
B435	The Orchard and Fruit Garden	Edward Payson Powell		
B436	Birds of Prey	Leonard Lee Rue III		Magna Books
B437	Birds: An Artist's View	Terance James Bond; Rob Hume		Bracken Books
B438	Birds	Author/editor uncertain		Spring Books
B439	Unbroken Service: Lloyd's Patriotic Fund	Author/editor uncertain		
B440	Birds of the World	Oliver L. Austin Jr.; Arthur Singer		Hamlyn
B441	The Times Atlas of World History	Times Books editors		Times Books
B442	England under the Stuarts	G. M. Trevelyan		The Folio Society
B443	The Black Death	Philip Ziegler	1997	The Folio Society
B444	Captain Cook's Voyages 1768–1779	Captain James Cook; selected and introduced by Glyndwr Williams	1997	The Folio Society
B445	A Brief History of Time	Stephen W. Hawking		Bantam
B446	England under the Tudors	G. R. Elton		The Folio Society
B447	The Source of the Nile	Richard Burton		The Folio Society
B448	Anglo-Saxon England	Peter Hunter Blair	1998	The Folio Society
B449	Early Medieval England	M. T. Clanchy		The Folio Society
B450	England in the Later Middle Ages	M. H. Keen	1997	The Folio Society
B451	Droll Stories	Honoré de Balzac; illustrated by Albert Robida		
B452	The Henry Williamson Animal Saga	Henry Williamson	1960	Macdonald
B453	Essays on Freedom and Power	Lord Acton		Meridian Books
B454	The Sicilian Vespers	Steven Runciman		
B455	The Birth of England	Author uncertain		
B456	Victorian People: A Reassessment of Persons and Themes 1851–67	Asa Briggs	1955	
B457	Louis XI	Paul Murray Kendall		Cardinal
B458	Robinson Crusoe	Daniel Defoe		A. & C. Black
B459	The King's Peace 1637–1641	C. V. Wedgwood		Collins
B460	The Path to Power	Margaret Thatcher		HarperCollins
B461	The Downing Street Years	Margaret Thatcher		HarperCollins
B462	The Crawshays of Cyfarthfa Castle: A Family History	Margaret Stewart Taylor	1967	
B463	History: Mankind and His Story	Max Beloff (advisory editor)	1948	Odhams Press
B464	A Century of Change	R. J. Unstead	1963	A. & C. Black
B465	2,000 Years of British Life: A Social History of England, Wales, Scotland and Ireland	Plantagenet Somerset Fry	1976	Collins
B466	Mary Queen of Scots	Antonia Fraser		
B467	History of the Twentieth Century	Author/editor uncertain		
B468	The Lion and the Unicorn: A Historian's Testament	Arthur Bryant	1969	Collins
B469	English Social History	G. M. Trevelyan		Longmans
B470	English History 1914–1945	A. J. P. Taylor		
